dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
1,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,I should have known that you would be here...Professor McGonagall.,66
2,Harry Potter and the Philosopher's Stone,1,Minerva McGonagall,Gryffindor,Human,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",64
3,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,"I'm afraid so, Professor. The good, and the bad.",48
4,Harry Potter and the Philosopher's Stone,1,Minerva McGonagall,Gryffindor,Human,And the boy?,12
5,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,Hagrid is bringing him.,23
6,Harry Potter and the Philosopher's Stone,1,Minerva McGonagall,Gryffindor,Human,Do you think it wise to trust Hagrid with something as important as this?,73
7,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,"Ah, Professor, I would trust Hagrid with my life.",49
8,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Professor Dumbledore, Sir. Professor McGonagall.",48
9,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,"No problems, I trust, Hagrid?",29
10,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",109
11,Harry Potter and the Philosopher's Stone,1,Minerva McGonagall,Gryffindor,Human,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",160
12,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,The only family he has.,23
13,Harry Potter and the Philosopher's Stone,1,Minerva McGonagall,Gryffindor,Human,This boy will be famous. There won't be a child in our world who doesn't know his name.,87
14,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,Exactly. He's better off growing up away from all that. Until he is ready.,74
15,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,"There, there, Hagrid. It's not really goodbye, after all.",57
16,Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,Human,Good luck...Harry Potter.,25
17,Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,Human,Up. Get up.  Now!,17
