spell_name,incantation,spell_type,times_mentioned
Patronus Charm,Expecto Patronum,Conjures a spirit guardian,12
General Counter-Spell,Finite,Terminates allÂ spellÂ effects,11
Wand-Lighting Charm,Lumos,Illuminates theÂ wandÂ tip,10
Disarming Charm,Expelliarmus,Disarms an opponent,8
Boggart-Banishing Spell,Riddikulus,Turns aÂ BoggartÂ into something amusing,7
Summoning Charm,Accio,Summons an object,7
Imperius Curse,Imperio,Total control over the victim,5
Unlocking Charm,Alohomora,Unlocks target,5
Impediment Jinx,Impedimenta,Hinders movement,4
Killing Curse,Avada Kedavra,Instantaneous death,4
Levitation Charm,Wingardium Leviosa,Makes objectsÂ fly,4
Shield Charm,Protego,Reflects spells and blocks physical forces,4
Full Body-Bind Curse,Petrificus Totalus,Temporary Paralysis,3
Spider repelling spell,Arania Exumai,Repels spiders,3
Stunning Spell,Stupefy,Knocks out target,3
Blasting Curse,Confringo,Explosion,2
Cruciatus Curse,Crucio,Excruciating pain,2
Freezing Charm,Immobulus,Stops movement and actions of the target,2
Memory Charm,Obliviate,ErasesÂ memories,2
Mending Charm,Reparo,Fixes broken objects,2
