movie_title,movie_id,character_name,house,total_lines,avg_dialogue_length
Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,233,39.128755364806864
Harry Potter and the Philosopher's Stone,1,Ron Weasley,Gryffindor,137,42.160583941605836
Harry Potter and the Philosopher's Stone,1,Hermione Granger,Gryffindor,95,56.56842105263158
Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,85,91.54117647058824
Harry Potter and the Philosopher's Stone,1,Minerva McGonagall,Gryffindor,31,93.96774193548387
Harry Potter and the Philosopher's Stone,1,Vernon Dursley,Unknown,25,42.8
Harry Potter and the Philosopher's Stone,1,Albus Dumbledore,Gryffindor,24,165.25
Harry Potter and the Philosopher's Stone,1,Dudley Dursley,Unknown,17,26.705882352941178
Harry Potter and the Philosopher's Stone,1,Neville Longbottom,Gryffindor,17,36.529411764705884
Harry Potter and the Philosopher's Stone,1,Petunia Dursley,Unknown,17,82.3529411764706
Harry Potter and the Philosopher's Stone,1,Quirinus Quirrell,Ravenclaw,17,80.3529411764706
Harry Potter and the Philosopher's Stone,1,Draco Malfoy,Slytherin,13,83.15384615384616
Harry Potter and the Philosopher's Stone,1,Rolanda Hooch,Unknown,13,87.61538461538461
Harry Potter and the Philosopher's Stone,1,Severus Snape,Slytherin,10,194.5
Harry Potter and the Philosopher's Stone,1,Voldemort,Slytherin,10,81.6
Harry Potter and the Philosopher's Stone,1,Lee Jordan,Gryffindor,9,72.11111111111111
Harry Potter and the Philosopher's Stone,1,Percy Weasley,Gryffindor,9,80.55555555555556
Harry Potter and the Philosopher's Stone,1,Oliver Wood,Gryffindor,8,119.5
Harry Potter and the Philosopher's Stone,1,Seamus Finnigan,Gryffindor,8,50.875
Harry Potter and the Philosopher's Stone,1,Girl,Unknown,7,20.285714285714285
Harry Potter and the Philosopher's Stone,1,Sorting Hat,Unknown,7,77.57142857142857
Harry Potter and the Philosopher's Stone,1,Argus Filch,Unknown,6,131.33333333333334
Harry Potter and the Philosopher's Stone,1,Boy,Unknown,5,39.2
Harry Potter and the Philosopher's Stone,1,Filius Flitwick,Ravenclaw,5,78.4
Harry Potter and the Philosopher's Stone,1,Firenze,Unknown,5,114.6
Harry Potter and the Philosopher's Stone,1,Fred Weasley,Gryffindor,5,43.2
Harry Potter and the Philosopher's Stone,1,George Weasley,Gryffindor,5,47.6
Harry Potter and the Philosopher's Stone,1,Molly Weasley,Gryffindor,5,78.6
Harry Potter and the Philosopher's Stone,1,Nearly Headless Nick,Gryffindor,5,50.0
Harry Potter and the Philosopher's Stone,1,Man,Unknown,4,18.0
Harry Potter and the Philosopher's Stone,1,Garrick Ollivander,Ravenclaw,3,260.0
Harry Potter and the Philosopher's Stone,1,Griphook,Unknown,3,19.333333333333332
Harry Potter and the Philosopher's Stone,1,All,Unknown,2,14.5
Harry Potter and the Philosopher's Stone,1,Class,Unknown,2,15.5
Harry Potter and the Philosopher's Stone,1,Marcus Flint,Slytherin,2,14.0
Harry Potter and the Philosopher's Stone,1,Merpeople,Unknown,2,24.5
Harry Potter and the Philosopher's Stone,1,Old man,Unknown,2,31.5
Harry Potter and the Philosopher's Stone,1,Tom,Unknown,2,33.0
Harry Potter and the Philosopher's Stone,1,Bloody Baron,Slytherin,1,13.0
Harry Potter and the Philosopher's Stone,1,Boy 2,Unknown,1,27.0
Harry Potter and the Philosopher's Stone,1,Crowd,Unknown,1,71.0
Harry Potter and the Philosopher's Stone,1,Ginny Weasley,Gryffindor,1,10.0
Harry Potter and the Philosopher's Stone,1,Goblin,Unknown,1,69.0
Harry Potter and the Philosopher's Stone,1,Gryffindors,Unknown,1,4.0
Harry Potter and the Philosopher's Stone,1,Man in a painting,Unknown,1,92.0
Harry Potter and the Philosopher's Stone,1,Shrunken head,Unknown,1,20.0
Harry Potter and the Philosopher's Stone,1,Student,Unknown,1,7.0
Harry Potter and the Philosopher's Stone,1,Students,Unknown,1,20.0
Harry Potter and the Philosopher's Stone,1,The Fat Lady,Unknown,1,9.0
Harry Potter and the Philosopher's Stone,1,Woman,Unknown,1,32.0
Harry Potter and the Chamber of Secrets,2,Harry Potter,Gryffindor,262,42.63740458015267
Harry Potter and the Chamber of Secrets,2,Ron Weasley,Gryffindor,143,33.23776223776224
Harry Potter and the Chamber of Secrets,2,Hermione Granger,Gryffindor,69,57.69565217391305
Harry Potter and the Chamber of Secrets,2,Gilderoy Lockhart,Ravenclaw,47,103.36170212765957
Harry Potter and the Chamber of Secrets,2,Albus Dumbledore,Gryffindor,44,95.5909090909091
Harry Potter and the Chamber of Secrets,2,Dobby,Unknown,37,70.35135135135135
Harry Potter and the Chamber of Secrets,2,Rubeus Hagrid,Gryffindor,37,82.56756756756756
Harry Potter and the Chamber of Secrets,2,Tom Riddle,Slytherin,32,110.875
Harry Potter and the Chamber of Secrets,2,Lucius Malfoy,Slytherin,27,75.88888888888889
Harry Potter and the Chamber of Secrets,2,Draco Malfoy,Slytherin,25,73.36
Harry Potter and the Chamber of Secrets,2,Minerva McGonagall,Gryffindor,24,133.16666666666666
Harry Potter and the Chamber of Secrets,2,Vernon Dursley,Unknown,23,68.17391304347827
Harry Potter and the Chamber of Secrets,2,Molly Weasley,Gryffindor,20,65.4
Harry Potter and the Chamber of Secrets,2,Arthur Weasley,Gryffindor,14,46.857142857142854
Harry Potter and the Chamber of Secrets,2,Moaning Myrtle,Ravenclaw,14,91.64285714285714
Harry Potter and the Chamber of Secrets,2,Severus Snape,Slytherin,12,103.58333333333333
Harry Potter and the Chamber of Secrets,2,Other,Unknown,11,25.818181818181817
Harry Potter and the Chamber of Secrets,2,Students,Unknown,9,14.333333333333334
Harry Potter and the Chamber of Secrets,2,Aragog,Unknown,8,82.75
Harry Potter and the Chamber of Secrets,2,Argus Filch,Unknown,7,64.57142857142857
Harry Potter and the Chamber of Secrets,2,Fred Weasley,Gryffindor,7,37.57142857142857
Harry Potter and the Chamber of Secrets,2,Neville Longbottom,Gryffindor,7,30.0
